date,team_1,team_2,_map,result_1,result_2,map_winner,starting_ct,ct_1,t_2,t_1,ct_2,event_id,match_id,rank_1,rank_2,map_wins_1,map_wins_2,match_winner
18-03-2020,Recon 5,TeamOne,Dust2,0,16,2,2,0,1,0,15,5151,2340454,62,63,0,2,2
18-03-2020,Recon 5,TeamOne,Inferno,13,16,2,2,8,6,5,10,5151,2340454,62,63,0,2,2
18-03-2020,New England Whalers,Station7,Inferno,12,16,2,1,9,6,3,10,5243,2340461,140,118,12,16,2
18-03-2020,Rugratz,Bad News Bears,Inferno,7,16,2,2,0,8,7,8,5151,2340453,61,38,0,2,2
18-03-2020,Rugratz,Bad News Bears,Vertigo,8,16,2,2,4,5,4,11,5151,2340453,61,38,0,2,2
17-03-2020,Singularity,Endpoint,Overpass,13,16,2,2,8,6,5,10,5247,2340456,71,41,0,2,2
17-03-2020,Singularity,Endpoint,Vertigo,11,16,2,1,6,9,5,7,5247,2340456,71,41,0,2,2
17-03-2020,Espada,Tricked,Dust2,16,10,1,2,3,8,13,2,5247,2340455,56,77,2,0,1
17-03-2020,Espada,Tricked,Nuke,16,10,1,1,7,8,9,2,5247,2340455,56,77,2,0,1
17-03-2020,fnatic,BIG,Mirage,12,16,2,1,9,6,3,10,5226,2340397,5,18,1,2,2
17-03-2020,Sprout,Movistar Riders,Mirage,16,10,1,2,9,2,7,8,5150,2340447,33,37,2,0,1
17-03-2020,Rooster,Skyfire,Inferno,16,13,1,1,7,8,9,5,5236,2340444,103,126,2,0,1
17-03-2020,Rooster,Skyfire,Overpass,16,1,1,2,2,0,14,1,5236,2340444,103,126,2,0,1
17-03-2020,Paradox,Airborne,Nuke,19,16,1,1,8,7,7,8,5236,2340443,112,187,1,2,2
17-03-2020,Paradox,Airborne,Mirage,9,16,2,2,6,4,3,12,5236,2340443,112,187,1,2,2
17-03-2020,Paradox,Airborne,Inferno,10,16,2,1,5,10,5,6,5236,2340443,112,187,1,2,2
17-03-2020,Alcoholics Anonymous,Station7,Mirage,5,16,2,2,2,4,3,12,5243,2340131,117,118,5,16,2
17-03-2020,New England Whalers,District 7,Nuke,16,7,1,2,7,1,9,6,5243,2340130,140,91,16,7,1
17-03-2020,AGO,HellRaisers,Train,16,5,1,2,3,3,13,2,5150,2340449,45,49,2,0,1
17-03-2020,AGO,HellRaisers,Inferno,16,5,1,1,11,4,5,1,5150,2340449,45,49,2,0,1
17-03-2020,Sprout,Movistar Riders,Inferno,16,7,1,1,13,2,3,5,5150,2340447,33,37,2,0,1
17-03-2020,fnatic,BIG,Overpass,16,7,1,2,4,4,12,3,5226,2340397,5,18,1,2,2
17-03-2020,Natus Vincere,North,Nuke,10,16,2,1,7,8,3,8,5226,2340396,1,23,0,2,2
17-03-2020,Natus Vincere,North,Dust2,10,16,2,1,5,10,5,6,5226,2340396,1,23,0,2,2
17-03-2020,forZe,Complexity,Train,9,16,2,2,3,7,6,9,5226,2340279,24,17,2,1,1
17-03-2020,forZe,Complexity,Mirage,19,17,1,1,10,5,5,10,5226,2340279,24,17,2,1,1
17-03-2020,fnatic,BIG,Inferno,7,16,2,1,5,10,2,6,5226,2340397,5,18,1,2,2
17-03-2020,forZe,Complexity,Dust2,16,9,1,2,8,2,8,7,5226,2340279,24,17,2,1,1
17-03-2020,pro100,Japaleno,Inferno,8,16,2,1,5,10,3,6,5150,2340448,43,64,0,2,2
17-03-2020,pro100,Japaleno,Dust2,14,16,2,2,6,9,8,7,5150,2340448,43,64,0,2,2
17-03-2020,GamerLegion,Nordavind,Vertigo,16,9,1,2,8,2,8,7,5150,2340450,35,47,1,2,2
17-03-2020,GamerLegion,Nordavind,Mirage,9,16,2,2,5,5,4,11,5150,2340450,35,47,1,2,2
17-03-2020,GamerLegion,Nordavind,Nuke,14,16,2,2,10,5,4,11,5150,2340450,35,47,1,2,2
16-03-2020,District 7,Bad News Bears,Vertigo,7,16,2,2,1,7,6,9,5151,2340320,93,33,7,16,2
16-03-2020,Thunder Logic,TeamOne,Mirage,5,16,2,1,4,11,1,5,5151,2340426,160,126,5,16,2
16-03-2020,Bad News Bears,Station7,Inferno,16,8,1,2,6,3,10,5,5151,2340315,33,133,16,8,1
16-03-2020,Rugratz,New England Whalers,Mirage,16,10,1,2,5,6,11,4,5151,2340046,85,178,16,10,1
16-03-2020,Recon 5,Oceanus,Nuke,16,5,1,1,10,5,6,0,5151,2340317,74,121,16,5,1
16-03-2020,Chaos,In The Lab,Dust2,16,1,1,1,14,1,2,0,5151,2340427,43,124,16,1,1
16-03-2020,Infinity,Thunder Logic,Dust2,16,14,1,2,10,5,6,9,5151,2340319,137,160,16,14,1
16-03-2020,District 7,Rugratz,Mirage,9,16,2,1,4,11,5,5,5151,2340318,93,85,9,16,2
16-03-2020,Under 21,TeamOne,Nuke,12,16,2,1,7,8,5,8,5151,2340322,80,126,12,16,2
16-03-2020,Chaos,Monstars,Inferno,16,12,1,1,9,6,7,6,5151,2339553,43,119,16,12,1
16-03-2020,Thunder Logic,New England Whalers,Nuke,16,13,1,1,6,9,10,4,5151,2340323,160,178,16,13,1
16-03-2020,Singularity,Espada,Nuke,16,11,1,2,9,3,7,8,5247,2340328,65,56,1,2,2
16-03-2020,Vitality,GODSENT,Vertigo,16,14,1,1,6,9,10,5,5226,2340063,10,17,2,0,1
16-03-2020,Vitality,GODSENT,Nuke,16,8,1,2,6,3,10,5,5226,2340063,10,17,2,0,1
