Total_no_of_loans,1_source,1_amount,1_1,1_2,1_3,1_4,1_5,1_6,2_source,2_amount,2_1,2_2,2_3,2_4,2_5,2_6,3_source,3_amount,3_1,3_2,3_3,3_4,3_5,3_6,4_source,4_amount,4_1,4_2,4_3,4_4,4_5,4_6,5_source,5_amount,5_1,5_2,5_3,5_4,5_5,5_6,6_source,6_amount,6_1,6_2,6_3,6_4,6_5,6_6,7_source,7_amount,7_1,7_2,7_3,7_4,7_5,7_6,8_source,8_amount,8_1,8_2,8_3,8_4,8_5,8_6,9_source,9_amount,9_1,9_2,9_3,9_4,9_5,9_6,10_source,10_amount,10_1,10_2,10_3,10_4,10_5,10_6,Total_loan_amt,Age,Caste_Category,Education,Total_land,Land_Irrigation,f_1,f_2,f_3,f_4,f_5,Total_yrs_in_shg,Total_family_members,yearly_income,income_increase_after_loan,if_yes_then_how_much,total_monthly_savings,amt_to_increase_monthly_savings,were_you_able_to_generate_income_from_loan,tv_0,tv_1,fridge_0,fridge_1,washmach_0,washmach_1,two_wheeler_0,two_wheeler_1,car_0,car_1,smartphone_0,smartphone_1,home_0,home_1,edu_0,edu_1
5,3,15000,1,0,0,0,0,0,2,10000,0,0,1,0,0,0,3,10000,0,0,0,0,1,0,3,10000,0,0,0,0,1,0,3,10000,1,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,0,0,,,,,,,0,0,,,,,,,0,0,,,,,,,55000,52,3,1,4,0,1,1,1,0,0,3,5,100000,1,5000,80,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3
3,3,30000,0,0,1,0,0,0,2,50000,1,0,0,0,0,0,3,20000,0,0,1,0,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,100000,30,3,3,3,0,0,1,1,0,0,3,4,150000,1,10000,80,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,3,2
2,3,30000,0,0,0,0,0,1,3,50000,0,0,0,1,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,80000,24,3,3,2,1,1,0,0,0,0,7,5,100000,1,4000,80,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,3,2
5,2,15000,0,0,1,0,0,0,2,15000,0,0,0,0,1,0,3,10000,0,0,1,0,0,0,3,10000,1,0,0,0,0,0,2,50000,0,0,0,0,1,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,100000,50,3,1,3,0,1,1,1,0,0,3,5,100000,1,10000,80,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
3,3,10000,0,0,1,0,0,0,3,30000,0,0,0,0,0,1,3,50000,0,0,0,0,1,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,90000,42,3,2,0,-1,0,0,1,0,0,7,7,55000,1,3000,80,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2
4,3,10000,0,0,0,0,0,1,3,10000,0,0,0,0,0,1,3,20000,0,0,1,0,0,0,3,30000,0,0,0,0,0,1,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,70000,23,3,2,0,-1,0,0,1,0,0,7,4,10000,1,1000,80,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,2
2,3,20000,0,0,0,0,0,1,3,10000,0,0,0,0,0,1,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,30000,50,3,0,0,-1,0,0,1,0,0,7,3,0,1,3000,80,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1
3,2,40000,1,0,0,0,0,0,3,10000,0,0,1,0,0,0,2,50000,0,0,1,0,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,100000,30,3,2,3,1,1,1,0,0,0,3,5,100000,1,5000,80,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1
2,3,25000,0,0,0,0,0,1,3,40000,0,0,0,0,0,1,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,65000,35,3,2,0,-1,0,0,1,0,0,7,6,50000,1,12000,80,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
4,2,16000,0,0,1,0,0,0,2,20000,0,0,1,0,0,0,3,10000,0,0,1,0,0,0,2,10000,1,0,0,0,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,56000,50,3,1,8,0,1,1,1,0,0,6,5,100000,1,5000,80,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2
